s1,s2,label,pred
温州有什么好玩的地方？,温州什么地方最好玩,0,1
男生怎么留刘海,如何剪刘海是男生的,0,1
青年医生很好看的,青年医生好看不,1,0
在电影院里是什么客,电影院是什么,1,0
雌性激素高的食物有哪些,含有雌激素的食物有哪些,0,1
有人知道图片上的人是谁吗。,这个图片有人知道吗,0,1
今天北京下雨了吗,今天北京会下雨吗,0,1
这些韩文是什么意思？,韩文中什么意思,0,1
百度如何上传文件,在百度贴吧里怎么上传文件？,0,1
剑灵捏人。求这个天族女的原数据,求这个剑灵天族的捏人数据。,0,1
怎么知道对方有没有上微信,微信上怎么看别人是否在线,1,0
你在干什么，日语怎么说？,“你们在干什么”日语怎么说,1,0
这是什么水果？有图。,这是什么水果。怎么吃？,0,1
想和女朋友接吻要怎么说,怎么和女朋友接吻啊？,0,1
怎样钩有后跟的鞋子,钩鞋子怎样钩图,0,1
关于前男友的报复，我该怎么做？,怎么去报复前男友一家人。,0,1
北海还有传销吗？,北海是传销吗？,0,1
长方体的底面积怎么求？,长方体的面积怎么做？,0,1
大学生可以做什么挣钱,大学生网上做什么赚钱,0,1
送奶奶什么礼物比较好,送老公的奶奶生日礼物什么好呢，送,0,1
我爱上了我朋友的老婆怎么办,我上了朋友的老婆怎么办,1,0
求此动漫女名字,求此动漫名字。,0,1
男皮鞋哪个牌子好？,哪个牌子的皮鞋好？,0,1
高个子女孩适合什么样的短发,高个子女生适合什么样的发型,0,1
怎么样可以让眉毛变浓？而且多,怎么可以使眉毛变浓？,0,1
吃一半，还一半的谜底是什么,一半去一半还有一半谜底是什么啊,1,0
这是和田玉吗？,这是和田玉,0,1
泡芙面膜怎么做代理,面膜代理怎么做,0,1
微商是什么，可以做吗,怎么可以做微商,0,1
加入薏米社团好吗,加入薏米社团行吗,0,1
晚安，用韩语怎么说？,晚安的韩语怎么写？,0,1
粗纤维食物有哪些-如何科学食用粗纤维食物,粗纤维食物有哪些（适宜于胃病患者吃）,0,1
天津海运职业学院,天津海运职业学院在哪个区,0,1
全民枪战怎么飞了,全民枪战的人要怎么飞？,0,1
大家都笑你打一中国城市名),猜一猜打中国城市,1,0
现在最流行什么歌？,现在最流行什么,0,1
什么时候是尾牙啊？,什么是尾牙油,1,0
杨幂整容前照片,杨幂整容前后的照片,1,0
户外品牌哪个好,户外鞋哪个品牌好,0,1
谁可以教我英语怎么读，怎么拼,怎么学英语…怎么呀,0,1
精液如何做面膜,精液面膜如何用,0,1
赛尔号的达尔在哪,赛尔号达尔在哪抓,1,0
什么手机卡流量最多？,什么手机卡流量最多月租最少,1,0
门户网站的盈利模式有哪些?,地方网站的盈利模式有哪些,1,0
什么手表的品牌？,这手表是什么品牌,0,1
给男朋友送什么生日礼物好啊，是学生,送男朋友什么生日礼物有意义,0,1
哪里有妖精的旋律下,在哪里才能看妖精的旋律啊,0,1
怎样在手机上找回支付密码,怎样找回手机支付密码,0,1
为什么我的嘴唇会起泡？,下嘴唇为什么总是会起泡！,0,1
天天酷跑怎样可以免费刷钻石？,能给我免费刷天天酷跑钻石,0,1
请问这个表情叫什么啊？,请问这个贱贱的表情叫什么？,0,1
老板牌油烟机怎么样,老板油烟机怎么样,0,1
微博账号怎么注册,注册微博账号时候？怎么填？,0,1
这个男的是哪部电视剧里的,这个是哪部电视剧？,1,0
怎么做箱子,刷箱子怎么刷,0,1
求百度网盘资源,可以给我钙百度网盘资源吗,1,0
有没有什么好看的电影推荐一下？谢谢了,有什么好看的国产电影推荐下，谢谢！,0,1
新疆什么枣好吃,新疆什么最好吃,1,0
林冲是指什么生肖？,林冲属什么生肖,0,1
在家带孩子想做兼职怎么办？,在家带孩子，做什么兼职好，,0,1
哪里可以办理大额信用卡的？,你这里可以办理大额的信用卡吗，,0,1
这个网名是什么意思啊,我的网名是什么意思啊！,0,1
捌零音乐论坛邀请码。,捌零音乐论坛邀请,0,1
我怎么在百度问题回答不能提交,里面怎么有的问题提交不了啊,0,1
苹果手机屏幕旋转怎么调,苹果手机怎么锁屏幕旋转,0,1
我爸爸去哪儿了,爸爸去哪儿，。,0,1
请告诉我怪物猎人有什么好玩的,PSP难以理解怪物猎人2G有什么好玩的,1,0
又要开始一天的工作了,我工作的一天,0,1
生鸡蛋可以吃吗？,鸡蛋不煮能吃吗？,1,0
梦见死人躺在棺材中,梦见死人和棺材,0,1
蜗牛为什么只在下雨天气出来,为什么雨天蜗牛会从土里爬出来,0,1
雷达电蚊香片怎么用？,雷达电蚊香片怎么装,1,0
那个音乐播放器好手机，,手机音乐播放器,0,1
劲舞团那些徽章都是怎么得到的？,劲舞团里面那个teom徽章怎么获得的啊,0,1
我和喜欢上我的同桌怎么办,我喜欢上了我的同桌，但是,0,1
一呜惊人的生肖是什么,一}惊人。指什么生肖,1,0
赛尔号怎么打缪斯视频,现在赛尔号怎么打缪斯,0,1
怎么刷白牙齿,怎么能把牙齿刷白一些？,0,1
基佬什么意思,死基佬什么意思,1,0
我脸胖，适合什么发型？,我适合什么样的发型？该如何留？,0,1
女，求纹身图案,纹身图案，想找,0,1
心肌炎有什么症状和怎么引起的,问题:心肌炎的主要症状是什么,0,1
淘宝店铺装修用什么样的模板好,手机淘宝店铺装修应该选择什么样的模板好,0,1
求英语大神…,渣渣英语，求大神,0,1
无线路由器，哪个牌子信号比较好。,无线路由器哪个品牌好点，谢谢,0,1
关于中国梦我的梦的手抄报,我的梦中国梦手抄报,0,1
我的大脑问题,关于大脑的问题,1,0
卫浴哪个品牌好,卫浴有哪些品牌,1,0
手机卡会被别人监听吗？,手机卡让别人监听了怎么办,1,0
亚麻带什么意思,亚麻的是什么意思？,0,1
我的兽人老公谁有,求我的兽人老公,0,1
什么是支付宝？怎么用怎么注册,支付宝怎么注册和使用。详细,0,1
天蝎座是怎么样的性格,天蝎座的人是怎么样的,0,1
怎么瘦大腿,怎么瘦大腿肚,0,1
这件衣服配什么裤子最好看,这件衣服配什么色的裤子好看,0,1
三个开关控制一个灯怎么接？,三个开关怎么控制一个灯,0,1
怎么下载这个短片？,怎么下载《我们》短片啊？,1,0
为什么枪神纪进不了游戏,为什么枪神纪没停服却进不了,0,1
冬天好钓鱼吗,冬天可以钓鱼吗…,1,0
世界上最简单的话是什么言什么语,世界上最难的语言和最简单的语言分别是什么,0,1
寻找一部老电视剧,寻找一部电视剧《急》,0,1
魔兽世界怎么抢灵魂兽,魔兽世界灵魂兽怎么抓？,0,1
零食在哪个网站,哪个零食网站好,0,1
淘宝刷单子怎么刷,淘宝怎么做。才有单子接,1,0
小学二年级语文又来了,小学语文二年级,0,1
好看的大陆古装剧有哪些,最近有哪些好看的古装剧啊,0,1
这广告的女主角是谁？,361度广告女主角是谁,0,1
为什么男人要和别人的女人睡觉,男人为什么要和女人睡觉,0,1
这配置能玩国土防线吗,我的配置能玩国土防线吗？,0,1
搜狗输入法的问题,我的搜狗输入法出问题了！,0,1
请你吃六块钱的麻辣烫是什么意思？,请人吃六块钱麻辣烫是什么意思？,0,1
移动光宽带好不好,移动的宽带好不好,0,1
瞻仰的仰是什么意思？！,瞻仰的瞻是什么意思？,0,1
谁知道这个网络美女是谁,谁知道她是网络美女吗？,0,1
学而时习之的时什么意思,学而时习之的之什么意思？,1,0
什么炒菜好吃,什么火炒菜好吃？,0,1
快做爸爸的感觉是什么样的！,当爸爸是什么样的感觉…,0,1
为什么我的电脑有乱码？,为什么我的电脑的游戏都是乱码,0,1
理想的大学是什么样的,最理想的大学生活是什么样的,0,1
现在最流行什么,现在什么歌最流行,1,0
怎么找回自己的百度贴吧密码？,百度云密码忘了咋找回,1,0
怎样可以刷财富值,怎么才可以领财富,0,1
赛尔号雷伊怎么打？,赛尔号雷伊怎么得？,1,0
共勉是什么意思？,共勉之是什么意思啊,0,1
如何叫手机一直震动怎么开,怎么让手机一直震动,0,1
扇贝柱怎么吃,扇贝肉怎么样做着吃,1,0
年糕怎么炒好吃呢,年糕怎样做好吃？,0,1
户口迁移申请书怎么写,婚后户口迁移申请书怎么写,0,1
手机上什么软件商店好用？,苹果手机用什么应用商店好用,0,1
青春派的插曲是什么？,青春序插曲是什么歌,0,1
谁能给我一个奥拉星,谁能给我一个奥拉星的强号，求,0,1
北京办学生公交卡,北京学生公交卡丢了,1,0
"怎样让皮肤变白,能不能帮?",怎样能迅速让皮肤变白,0,1
绅士是什么意思？,贴吧里说别人是绅士什么意思,1,0
关于一个三国单机游戏,一个很老的三国单机游戏,0,1
谷歌输入法和搜狗输入法哪个好？,谷歌输入法和百度输入法和搜狗输入法哪个好,0,1
广福记冒菜怎么加盟？,广福记冒菜怎么样啊，想加盟？,0,1
经常沉默的人代表什么,选择沉默的人代表什么,0,1
什么脸型适合空气刘海,我适合空气刘海吗？我是什么脸型,0,1
氯雷他定片是什么药,氯雷他定片又叫什么么,0,1
适合做什么发型,我适合什么发型？,0,1
四个人的游戏名,四个人玩的游戏,0,1
怎么让红色头发掉色？,紫红色头发怎么能让它尽快褪色,1,0
有什么电影床戏多,什么电影里有床戏？,0,1
太可爱了用日语怎么说？,日语可爱怎么打,1,0
用他人驾驶证扣分需要本人去吗？,驾驶证扣分需要本人吗,0,1
怎样做一个好人,怎样才算一个好人？,0,1
这个表情叫什么名字,求这个表情包的名字,0,1
我在大清当皇帝怎么样,我在大清当皇帝,0,1
用支付宝转账，可以用信用卡么？,支付宝能转账到信用卡吗,0,1
有没有好看的电影,有没有好看的人蛇电影,0,1
如何在家工作挣钱,那里有在家挣钱的工作,0,1
祖国山河壮下联是什么？,祖国山河好的下联是什么？,0,1
嗓子哑吃什么水果好,吃什么水果对嗓子好,0,1
读高中还是技校好？,技校好还是高中好,0,1
这是个什么牌子？,这个鞋是什么牌子的？,1,0
什么减肥产品效果好啊,《吃什么减肥药效果好》,0,1
求这张原图！,求这张沢田纲吉的原图,0,1
生日快乐用日语怎么说,生日快乐用日语怎么写,0,1
这种头像叫什么？该怎么找？,这种头像！,0,1
男孩子最喜欢的礼物是什么？,男孩子喜欢什么礼物？,0,1
求一部好看的电影,求一部好看的电影像人在囧途,0,1
请问这个是什么植物,急。请问【朱迪】是个什么植物？,1,0
小脸的女生适合什么发型,小脸女生适合什么中分发型,0,1
这是什么机场,这是那个机场,0,1
谁能告诉我一个电影的名字?,谁能告诉我一部电影的名字和下载地方,0,1
斗罗大陆的图片(要大的),斗罗大陆里唐三的图片,0,1
欧美女生头像,欧美范女生头像,0,1
李易峰是成都哪里人？,李易峰成都的家在哪里？,1,0
这种衣服上的图案叫什么？图,衣服上的这种图案叫什么？,0,1
什么牌子的奶茶好喝，好卖！,什么牌子的速溶奶茶好喝,1,0
什么玩具最好玩？,有啥好玩的玩具,0,1
怎样学好高中化学，基础差啊,高中化学怎样才可以学好,0,1
北哪里有彩虹蛋糕,哪里有彩虹蛋糕买,0,1
求死神卍解铃声,求死神卐解铃声,1,0
胖圆脸型适合什么发型,圆脸适合剪什么发型呢？,0,1
智能手环是做什么的,智能手环有什么用,0,1
腾讯游戏为什么这么垃圾,腾讯影视为什么这么垃圾,1,0
海参怎么做,你。海参怎么吃？,0,1
跟女朋友打电话应该说什么？,和女朋友打电话不知道说什么,0,1
眼睛充血是什么问题?,我爸爸尿里面有血眼睛充血是什么原因,1,0
承诺是什么意思？,许承诺是什么意思,1,0
递等式计算是什么,啥叫递等式计算？,0,1
怎么煎豆腐才好吃！,豆腐怎么做好吃。,0,1
葡萄跟提子有什么区别？,提子和葡萄的叶子有什么区别,0,1
权健的产品怎么样？贵不贵？,权健产品怎么样？,0,1
电热毯什么牌子好多少钱,什么牌子的电热毯好啊,0,1
为什么我的微信摇不到附近的人,为什么微信摇不到远方的人,0,1
是什么卡通物,这个卡通叫什么名啊,0,1
请问这是什么水果？怎么吃？,请问这是什么水果哦？,0,1
这是什么字？腈怎么组词,这是什么字，该怎么组词,0,1
姐姐的儿子叫什么,我姐姐家的儿子我叫什么？,0,1
谁要玩奥拉星？,谁帮我玩奥拉星的号,1,0
为什么申通快递那么垃圾,"申通快递为什么不倒闭,好垃圾",0,1
宁波市是哪个市的,宁波市属哪个区,1,0
比东北爷们还爷们的人。,比东北爷们还爷们的是什么？,1,0
办理银行卡都需要什么?,办张网上银行卡需要什么条件,1,0
时空猎人有没有辅助器,时空猎人辅助有没有,1,0
学生兼职可以做什么？,网上有什么学生可以做的兼职吗,0,1
帮忙设计个签名：关涛,帮忙设计个签名！,0,1
成语词典大全,成语词典大全《》声《》答,0,1
三长两短是什么生肖？,"三长两短好分别,是什么生肖",0,1
婴儿免费取名,免费给姓涂婴儿取名,0,1
孕妇不能吃什么,孕妇不能吃什么肉,0,1
如何快速瘦腿瘦臀,怎么才可以快速瘦腿？,0,1
什么的味道,什么是家的味道,1,0
怎么取消联通手机套餐,怎么自己取消联通上网套餐,1,0
宋代足球小将。,宋代足球小将二在哪可看,0,1
天蝎座和什么座最配,女天蝎座和男什么座最配可以吗？,0,1
求这个女头的情侣头像,求这个情侣头像的女头。,0,1
武林外传的号被封了,关于武林外传,0,1
断肠草有什么作用,断肠草对鸡吃了有什么作用,1,0
开口松子怎么开的,怎样让松子开口,0,1
天蓝色搭什么颜色好看,天蓝色配什么颜色的鞋好看,0,1
这两个东西怎么用？是什么？,这两个是什么东西,0,1
你余额宝每天的利息有多少,余额宝放100元每天利息是多少,0,1
火影忍者漫画在哪里能看,谁哪里有火影忍者漫画,0,1
我的世界这里是哪里,我的世界是什么,0,1
关于电脑输入法的一个问题,电脑输入法有问题,0,1
车载凯立德导航怎么自己升级？,凯立德车载导航怎么升级啊？,0,1
手机下电影的软件哪个最好,手机看电影哪个软件最好用？,0,1
有什么成语是带数字的,带数字四的带有光的是什么成语,1,0
上海仁济医院是哪个区,上海哪个站离仁济医院近,1,0
怎么才能让自己喜欢的人开心,怎么短信逗自己喜欢的人开心,0,1
过年要怎么玩,过年怎么过？,1,0
全部紫色的是什么花图片,图片上紫色的花叫什么,0,1
看最可爱的人是什么生肖,最可爱的生肖是什么？,0,1
户外鞋哪个品牌最好,户外品牌哪个最好呢,1,0
西南交通大学在哪,西南交通大学在哪个村,0,1
魔兽世界电影什么时候出和演员阵容,魔兽世界电影版什么时候上映啊,0,1
什么车省油？,开什么车最省油？,0,1
玩武林外传的进,关于《武林外传》,1,0
新梁山伯与祝英台插曲,梁山伯与祝英台插曲,0,1
这个那个电影求大神,求大神猜电影,0,1
喝完酒喝什么可以解酒？,喝完酒吃什么解酒？,0,1
为什么男人要和女人睡觉?,为什么男人要和别人的女人睡觉,0,1
双色球我中了一等奖！,双色球一等奖,0,1
哪个牌子的手机像素最高,国产手机哪个像素最高2015年,1,0
梦见和朋友打架,梦见朋友打架,0,1
痔疮的症状有哪些，怎样预防痔疮,肛门长痔疮的症状都有哪些？,0,1
我男朋友背叛我怎么报复,我男朋友背叛我了，我该不该报复。,0,1
我心目中的好老师作文怎么写,我心目中的好老师是什么样的作文,1,0
雪花为什么都是花的形状,为什么雪花的形状都是一样的？,0,1
他说哥抱你休息啊什么意思？,他说抱着我休息是什么意思啊？,1,0
你的座右铭是什么？,座右铭是什么？,0,1
什么人每天靠运气赚钱打一生肖,什么人每天靠运气赚钱,1,0
我算是美女吗,这可以算是美女吗,1,0
情到深处人孤独。,情到深处最孤独,0,1
推荐个好玩的手机游戏，带我玩,推荐点好玩的手机游戏,0,1
什么牌子的腰带好啊,护腰带什么牌子好,1,0
求音乐：又不是这样就不孤独,求音乐：不是这样就不孤独,0,1
谢谢用韩语怎么写,谢谢用韩语怎么说,1,0
求重生之名流巨星的番外,找《重生之名流巨星》,0,1
什么手机不贵啊,什么手机好还不贵,0,1
男士护肤品哪个好,男士用护肤品啊,0,1
什么东西最补血？,吃什么东西补血,0,1
双马尾怎么扎好看,怎样梳马尾好看,0,1
长气球怎么做动物,怎么用气球做小动物,0,1
支付宝红包怎么用啊？,支付宝现金红包怎么用,0,1
抱着女朋友有什么感觉只是抱哦,男的抱女朋友什么感觉,1,0
制作这个图片的软件是什么呀,自己制作图片用什么软件,0,1
最新的华语电影是什么？,2012最新推出华语电影有什么,1,0
用手机怎么下载火影忍者漫画全集啊,火影忍者漫画怎么下载,0,1
清宫生男生女表,生男生女清宫图,0,1
兔子是母的起什么名字好呢？,qq飞车宠物取什么名字好我的宠物是母兔子,1,0
刀塔传奇女神联盟哪个好玩,刀塔联盟刀塔女神刀塔传奇哪个好玩,0,1
开彩票店赚钱吗,彩票能赚钱吗？,0,1
怎么安装游戏啊？,爱吾游戏怎么安装？,1,0
有什么比较好的网站推荐,有什么好玩的网站推荐给我,0,1
米线怎么煮才好吃？,凉米线怎么做好吃？,0,1
我的世界存档怎么用手机版,谁有我的世界手机版的存档,0,1
手机怎么连接小米电视,小米手机怎么连接电视,0,1
求这个截图的视频,求这个视频的截图，,0,1
熟螃蟹可以隔夜在吃吗？,隔夜的螃蟹可以吃吗？,0,1
怎么跟大学老师请假？,我是大学老师，关于大课没法上了怎么请假的问题,0,1
红酒什么牌子的,红酒什么牌子的好,0,1
小苹果这首歌在哪里有得听。,怎样载小苹果这首歌,1,0
这兔子是什么品种,这是什么这是什么品种的兔子,0,1
哪里是一个自讨苦吃的地方,一个自讨苦吃的地方在哪里。是什么生肖。,0,1
西兰花怎么做好吃又简单,清炒西兰花怎么做好吃,0,1
哪里的风景最美,那里的风景最美？,0,1
重庆哪里老火锅好吃？,重庆最好吃的火锅在哪里,0,1
怎么注册淘宝号？,淘宝卡怎么注册,1,0
老虎喜欢吃什么？,老虎喜欢什么,0,1
马年出生的男宝宝取什么名字好,马年出生的宝宝，取什么名字,0,1
给自己的生日祝福语,生日祝福语有哪些,0,1
图片上的是谁，哪位明星啊？,图片中的人像哪位明星？,0,1
“亇”是什么字啊？拼音是什么？,是什么字，什么拼音？,1,0
电信手机有哪些比较好了？,电信版的手机哪些牌子比较好,0,1
吃什么水果能防止便秘,吃什么水果有助于利便,0,1
我的世界手机版怎么下载地图包,我的世界手机版地图怎么使用,1,0
请用一句话证明你很穷,用一句内涵的话证明你穷,0,1
用什么牌子的化妆品好,什么牌子化妆品好，去斑的,0,1
怎么做面具图片,怎么做猫面具的图片,0,1
不能说的秘密,关于不能说的秘密,0,1
亚麻得什么意思,亚麻嗲，是什么意思,0,1
你最喜欢的明星是谁？为什么,明星你们最喜欢谁,0,1
别人如何往我支付宝里存钱,别人的网银怎样存钱到我的支付宝.,0,1
请问一下这件衣服的面料叫什么啊,做这件衣服的拉夫领的面料是什么,0,1
大家成为好朋友,我想和你成为朋友,0,1
谁是卧底？,谁是卧底怎么样,0,1
读书破万卷，(),读书万卷对(),0,1
求大神解答，如何写,求大神解答，么么哒,1,0
穿针引线法怎么用啊,穿针引线器怎么用,0,1
帮忙给我的店面取个名字?,帮忙给我的公司取个名字吧,1,0
什么办法能弄到钱,有什么办法能赚快钱,0,1
情人节送什么给闺蜜,情人节送闺蜜什么花,0,1
羡慕嫉妒恨是什么意思,羡慕、嫉妒、是什么意思？,0,1
如何吃红毛丹,红毛丹怎么去膜吃,1,0
饮水机桶怎么清洗,新的饮水机怎么清洗,0,1
现在做什么东西赚钱？,现在卖什么东西最赚钱？,0,1
下巴长痘痘疼是什么原因,下巴长痘痘是什么原因？,0,1
湖南卫视我们约会吧中间的歌曲是什么,我们约会吧约会成功歌曲是什么,1,0
话费充值哪里便宜,哪里充值(话费)最便宜？,0,1
祈祷句是什么意思,祈祷什么意思,1,0
谁有非主流动漫帅哥图片,谁有动漫帅哥的图片啊！急求~,0,1
男人本命年身上戴什么好,属羊男人本命年戴什么好,1,0
阴虱用什么药治疗好？,治疗阴虱用什么药,0,1
太阳能热水器那个好,都来说说自己家的太阳能热水器,0,1
珍珠鸟的阅读,《珍珠鸟》阅读题，急、,0,1
一个人说你倔强是什么意思,倔强什么意思,0,1
竖式除法怎样打,除法竖式怎么立？,0,1
哦发撒旦撒旦发,啊撒撒旦撒旦,1,0
古代包拯包青天，额头上的月亮是怎么来的,包青天头上怎么有一个月亮,0,1
看偏旁猜成语,偏旁一样的成语,0,1
联通卡怎么样开会员？,联通怎么刷会员,0,1
非主流女生头像,非主流蹲着的女生头像闪的,1,0
这个表情叫什么,这个是什么表情包？,0,1
怎么能看出来生男生女,怎样算生男生女呢,0,1
这需要割包皮吗？,我需要割包皮吗,0,1
杭州东高铁在哪里坐？,杭州在哪里上高铁？,0,1
哪里有充值便宜的话费,在哪里充值话费最便宜？,0,1
他们适合演金庸里的什么人物？,演金庸里的什么人物适合,0,1
求青梅竹马的双高干文,求青梅竹马高干文,1,0
可以用微信昵称找人吗,我只有他微信昵称怎么找人,0,1
男人丰胸吃什么药,男人吃什么可以丰胸,0,1
多情的人都把灵魂给了谁是谁唱的,多情的人都把灵魂给了谁,0,1
这是什么了，猜对了给好评！,这是什么，好评,0,1
最好的看电影的播放器是什么,看电影都有什么播放器,0,1
这几个字什么意思？,这几个字都念什么意思啊。,0,1
超可爱的卡通图片,可爱卡通图片有哪些,0,1
手机刷钻是怎么刷钻的,怎么用手机刷钻不要钱。,0,1
贴吧取消关注,贴吧取消关注我的人,0,1
电阻是什么,这又是什么电阻？,0,1
吃什么可以让脸变白？,怎样可以变白？,0,1
现在长发流行什么发型？,今年中长发流行什么发型,0,1
你们为什么喜欢林俊杰?,为什么喜欢林俊杰的女生那么多,1,0
什么短发好看求图片,剪什么短发好看图片男,0,1
求一本小说穿越到唐朝的。,求一本穿越唐朝的小说名,0,1
怎样让脚上毛孔变细,怎么才能把毛孔变细？,0,1
如何看《鲁豫有约》,如何上鲁豫有约,0,1
怎么切油条啊,油条怎么怍,0,1
美丽日记面膜怎么样,我的美丽日记面膜怎么样？,0,1
春节员工福利可以发什么,春节发员工福利什么好一点,0,1
现货白银怎么做可以盈利？,做现货白银的可以盈利吗？,1,0
早餐吃香蕉好吗,早餐只吃香蕉可以吗？,0,1
秋天最适合喝什么汤呢？,孕妇秋天适合喝什么汤,0,1
淘宝怎样增加流量,做淘宝客如何增加流量,0,1
汽车导航仪有哪些品牌,汽车导航仪哪个品牌好,0,1
谢文东电视剧，全集可以在哪观看,电视剧谢文东在哪下全集,0,1
谁是卧底怎么玩,谁是卧底？,0,1
梦见自己老婆出轨了，,梦见有人告诉我老婆出轨。老婆自己承认,0,1
宝宝脸上的小红点是什么,宝宝脸上长了好多小红点，什么原因,0,1
怎样自己升级手机系统版本,怎样自己升级安卓系统,0,1
微信流量怎么来的,微信流量怎么刷,0,1
这个日本女人叫什么啊,这个是日本女人吗？,0,1
图片头发是什么颜色的，,这图片上女生的头发是什么颜色的,0,1
黄花鱼怎么炖,怎样做黄花鱼,0,1
赛尔号出了组队后怎么抓精灵,赛尔号组队怎么不精灵,0,1
这样的词，词牌名是什么？,词牌名还有什么？,1,0
送妈妈什么礼物比较好？,小学生送给妈妈什么礼物比较好,0,1
什么是经济基础决定上层建筑,什么决定经济基础，经济基础决定上层建筑,0,1
酷跑怎么解封,怎么解封酷跑贴吧,0,1
卡通可爱图片,可爱卡通熊图片,0,1
吃什么对孕妇好？,孕妇吃什么对胃好,1,0
是平移还是旋转？,是旋转还是平移出来的,0,1
这张图片的高清放大版如下,谁有这张图片的高清放大版,0,1
求小曲儿《上邪》,求小曲儿的《上邪》和《剑心》，,0,1
图画指的就是什么,这图画的是什么？,1,0
什么牌子牛仔裤好看？,什么牌子的窄脚牛仔裤好看,0,1
我想做微商，大家说说可以吗？,微商是什么，可以做吗,1,0
僵尸国度第三季什么时候出,美剧我是僵尸第三季什么时候开播,0,1
求好听的宝宝乳名,求好听的男宝宝乳名,0,1
今年流行什么发型啊,今年流行什么发型女,0,1
求此图原图！,求此鹿乃的图的原图,0,1
这个电视剧谁知道啊？,谁知道这个电视剧叫什么？,0,1
什么红酒好喝,红酒对什么最好喝？,1,0
喵喵微店怎么赚钱啊,微店怎么做才能赚钱,0,1
有什么挖耳朵的工具不,我们一般挖耳朵的工具叫什么呢,0,1
孕妇面膜哪个牌子好用？,孕妇面膜补水哪个牌子好,0,1
这是什么动画片的人物,这是什么动画片里的人物，他是谁,0,1
手机支付宝怎么查年度账单,手机支付宝对账单怎么查,0,1
怎么炖羊肉好吃,怎么样做羊肉最好吃,0,1
暧昧还是什么意思？,暧昧是什么意思?,0,1
冬天卖什么赚钱,冬天干啥最赚钱？,0,1
哪些水果属于凉性水果?,水果哪些属于凉性呢，哪些属于热性呢,0,1
鸡蛋西红柿怎么做？,西红柿鸡蛋汤怎么做？,0,1
网线怎么压,这个怎么插网线？,0,1
刘海怎么弄好看,长刘海怎么弄好看,0,1
怎么健康瘦脸,怎么样瘦脸最健康？,0,1
买彩票真的会中奖吗？,那些买彩票中奖的人是真的吗,1,0
一呼百应是什么生肖,欲钱买一呼百应的生肖是什么,0,1
产妇五天拉肚子吃什么药好,哺乳期拉肚子吃什么食物好,1,0
手机上淘宝中评怎么改好评,怎么用手机在淘宝上改评价,1,0
赛尔号哈莫雷特,赛尔号哈莫雷特在哪打,0,1
谁知道什么玄幻小说最好看！,谁知道有好看的玄幻小说,0,1
